BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
Jan-14,1.67,1.54,1.13,0.14,0.00,0.06,0.09,0.08,2.08,3.30,-0.43,-0.05,2.59,0.24,0.05,0.06,-0.14,0.06,0.09,0.24,0.39,-0.08,0.00,0.15,0.60,1.61,0.19,0.00,0.00,0.00,0.25,0.11,0.02,0.00,2.39,1.28,0.15,0.91,0.13,0.84,0.26,1.11,0.35,0.16,0.07,0.83,0.00,0.07,1.75,0.56,0.19,0.46,-0.08,-0.02,0.89,4.93,0.22,0.08,0.36,0.57,1.73,2.26,0.00,3.32,0.37,1.26,0.20,0.68,0.82,-0.21,0.00,-0.16,0.53,0.06,0.10,0.04,0.40,0.33,0.03,0.29,1.11,0.40
Feb-14,-0.52,-0.05,0.14,0.00,0.20,0.08,1.55,0.01,0.13,0.20,-0.21,0.32,0.42,-0.05,-0.13,-0.03,0.24,1.25,-0.04,1.92,0.44,0.27,0.34,0.65,0.03,0.07,0.25,0.00,0.01,0.24,0.94,1.63,0.74,0.41,0.22,0.46,1.44,0.10,2.25,0.00,1.13,0.24,0.15,0.00,0.43,0.17,1.62,0.00,0.09,1.11,0.09,-0.07,0.14,0.02,1.68,0.68,0.15,0.19,0.77,0.23,-0.10,-0.17,1.88,0.41,0.19,1.26,0.00,0.47,0.09,1.17,-0.45,0.05,0.54,0.49,-0.12,0.00,1.08,-0.10,0.69,0.97,-0.05,0.39
Mar-14,-0.01,0.25,0.07,0.04,0.00,-0.18,0.58,0.07,0.00,0.00,0.24,0.16,-0.01,0.39,-0.32,-0.05,0.23,0.14,-0.68,0.05,0.10,0.02,0.72,0.02,1.08,0.60,0.07,0.08,0.10,0.17,0.47,0.14,0.22,0.56,0.24,0.17,-0.08,0.45,0.43,0.72,0.51,0.57,0.23,0.21,0.32,0.47,0.04,0.60,0.30,0.00,0.08,-0.04,0.02,0.38,0.40,0.38,0.02,0.18,0.02,0.02,-0.25,0.01,1.09,0.16,0.32,0.91,0.17,0.17,0.27,0.07,0.58,-0.01,-0.06,0.43,1.07,0.11,0.26,0.75,0.43,1.35,0.39,0.16
Apr-14,0.06,0.13,1.24,0.00,0.21,0.17,-0.30,0.89,0.00,0.00,0.05,-0.12,-0.24,0.23,-0.04,0.00,0.31,0.12,-0.63,-0.19,0.64,0.73,0.10,0.41,0.51,-0.04,0.08,0.06,-0.03,0.04,0.04,0.58,0.22,-0.21,0.15,0.08,0.31,0.77,0.40,0.18,0.10,0.55,0.07,0.20,0.06,0.30,0.20,0.47,0.14,0.11,1.09,-0.08,0.07,-0.08,0.39,0.01,0.05,-0.03,0.42,0.00,0.47,0.12,0.22,0.13,0.41,-0.38,0.20,-0.12,0.00,0.06,0.03,0.44,0.06,0.06,1.08,0.00,0.34,0.23,0.20,0.05,0.07,0.25
May-14,0.11,0.20,0.11,0.00,0.22,0.55,-0.24,0.02,1.70,0.06,0.05,0.26,0.13,0.30,0.08,0.00,0.11,-0.15,0.37,0.03,0.26,0.26,0.01,0.29,0.38,-0.04,0.04,0.23,0.68,0.99,0.09,0.56,0.22,0.45,0.34,0.07,0.02,-0.17,0.00,0.09,0.21,0.11,0.65,0.00,0.30,0.12,-0.01,0.28,0.62,0.34,0.03,-0.04,0.72,0.07,-0.38,0.21,0.09,0.07,0.10,2.05,-0.06,-0.42,0.04,0.02,0.21,0.47,1.18,0.13,1.13,-0.04,-0.06,0.28,0.00,1.29,-0.11,0.52,0.87,0.09,0.61,-0.02,0.03,0.26
Jun-14,0.24,0.17,0.03,0.05,0.00,-0.07,0.33,2.44,0.50,0.02,0.05,0.40,0.21,0.26,0.20,0.50,0.09,0.52,0.03,0.03,0.42,0.75,0.03,0.12,0.22,0.07,0.03,0.02,0.28,0.00,-0.02,0.32,0.59,0.41,0.35,2.68,0.21,0.43,0.01,0.00,0.06,0.24,0.01,0.26,0.26,0.03,0.00,0.09,0.13,0.32,0.03,0.22,0.29,-0.02,0.03,1.21,0.21,-0.08,0.02,0.23,0.02,-0.01,-0.60,0.03,1.01,0.10,0.27,0.24,0.05,1.24,0.02,0.54,0.20,0.91,1.99,-0.36,0.20,0.53,0.00,0.08,0.16,0.28
Jul-14,0.69,0.12,0.50,0.35,0.23,0.54,0.18,-0.13,0.72,1.84,0.15,-0.11,0.42,-0.02,-0.09,-0.27,0.85,0.04,0.12,0.06,0.95,0.00,-0.12,0.06,0.32,0.62,0.06,0.04,0.23,0.47,0.07,-0.27,0.16,0.10,0.53,0.40,0.07,0.76,-0.48,0.00,0.50,0.12,0.06,0.46,0.09,-0.05,0.04,0.03,0.19,0.00,0.06,-0.07,0.50,-0.03,0.54,0.48,0.35,-0.02,0.03,0.10,0.39,0.01,0.29,-0.10,0.14,-0.52,0.92,0.01,-0.49,0.33,0.00,0.01,0.21,0.34,0.59,0.38,0.89,-0.06,0.00,0.81,0.14,0.17
Aug-14,-0.08,0.02,0.20,0.05,0.43,0.37,0.52,0.02,0.01,3.46,-0.16,-0.06,-0.02,1.24,0.14,-0.06,0.19,0.00,0.99,-0.03,0.06,-0.19,-0.09,0.81,0.00,0.00,0.11,0.10,0.02,0.08,0.38,0.24,-0.31,2.85,0.75,-0.03,0.00,-0.01,0.28,0.00,0.18,0.09,0.42,0.57,0.16,0.07,0.23,0.35,0.12,0.55,0.18,0.00,0.22,0.00,-0.16,0.35,-0.03,0.17,-0.03,0.34,0.31,0.10,0.89,0.10,0.49,0.13,0.04,0.45,0.53,0.08,-0.03,0.16,0.21,0.01,0.16,0.41,-0.10,0.00,0.35,0.34,0.55,0.30
Sep-14,0.83,0.24,1.06,0.01,0.35,0.36,0.08,0.17,0.14,0.00,0.00,0.13,0.03,0.02,0.13,-0.26,0.42,0.00,0.04,-0.07,0.03,0.07,0.35,0.69,0.40,0.03,0.22,0.02,-0.01,0.07,0.45,0.34,-0.01,-1.04,0.36,0.14,0.40,0.02,0.39,0.00,0.00,0.26,0.87,0.12,0.26,0.39,0.00,0.18,0.09,0.22,0.10,0.01,0.11,0.01,0.17,0.30,0.04,0.48,0.60,0.21,1.25,0.35,1.46,0.05,0.06,-0.64,0.31,0.05,0.97,0.06,0.44,0.15,0.08,-0.02,0.51,0.23,0.06,-0.15,1.08,0.23,-0.03,0.30
Oct-14,0.16,-0.02,0.38,0.25,0.00,0.43,0.84,0.86,0.18,0.32,0.11,0.11,0.00,0.46,0.09,0.00,0.67,0.28,-0.13,0.08,0.43,1.05,0.13,0.05,0.10,0.86,0.04,-0.02,0.02,0.11,0.07,0.59,0.21,0.17,0.00,0.15,1.08,0.30,0.08,0.86,0.06,-0.20,0.26,0.27,0.74,0.10,0.01,0.55,0.12,0.23,0.06,0.26,0.36,0.00,0.13,0.35,0.00,0.22,-0.01,0.03,0.00,0.48,1.26,0.04,0.03,0.05,0.85,0.19,0.35,0.04,0.14,-0.01,0.10,0.04,0.76,0.00,-0.17,0.17,-0.06,-0.06,0.21,0.18
