,URUTAN,BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
0,0,2014-01-01,1.1,0.25,0.31,0.2,0.12,0.39,1.53,0.25,0.12,0.0,1.34,0.66,0.68,0.34,0.37,0.04,0.56,0.37,-0.06,0.0,2.65,0.03,1.08,0.66,0.73,3.43,1.31,0.0,1.58,0.14,0.17,0.0,1.16,0.54,0.85,0.44,0.91,0.04,2.09,0.0,1.58,0.3,0.36,0.06,1.29,1.54,1.07,0.45,0.57,1.47,1.17,0.01,7.81,0.2,0.08,0.64,0.18,2.49,2.01,0.0,0.2,1.09,0.24,0.95,0.51,0.01,0.33,0.33,2.39,2.33,0.67,0.11,0.65,0.7,0.06,0.0,1.33,0.0,0.3,2.26,1.89,0.76
1,1,2014-02-01,0.88,0.0,0.0,0.29,0.79,0.22,0.17,0.11,0.63,0.0,1.02,0.8,0.93,0.36,0.0,0.0,0.0,0.26,0.0,0.0,0.02,0.0,0.18,0.01,0.36,0.37,-0.06,0.27,0.09,0.03,0.09,0.58,0.04,1.67,0.52,0.14,1.58,0.38,0.0,0.0,2.47,0.4,3.19,0.77,0.09,0.25,0.31,1.15,1.15,0.0,0.87,1.1,0.06,0.43,1.05,0.06,2.37,0.27,2.12,1.31,2.68,0.01,1.02,0.12,0.97,1.99,0.19,1.0,-0.05,0.49,0.08,0.35,0.61,3.72,0.0,0.0,1.76,1.05,1.21,0.8,0.26,0.38
2,2,2014-03-01,1.42,0.1,0.73,0.29,0.16,0.22,0.0,0.01,0.0,0.0,0.66,0.02,0.0,0.97,0.31,0.0,0.01,0.06,0.0,1.02,-0.01,0.05,0.69,0.46,0.02,0.52,0.03,0.15,0.33,0.08,0.46,0.04,0.07,0.0,0.31,0.57,0.15,0.15,0.08,0.25,0.17,0.3,0.27,1.25,-0.05,0.64,1.21,0.34,1.98,1.66,0.09,0.0,1.69,0.28,0.02,0.0,0.02,2.09,0.0,0.97,0.05,-0.01,0.17,0.28,0.44,1.59,0.1,0.55,1.12,0.02,0.1,2.53,0.0,0.0,0.41,0.0,0.0,0.05,0.53,0.0,0.24,0.39
3,3,2014-04-01,0.17,0.04,1.26,0.12,0.67,1.31,0.93,0.36,0.18,0.0,0.23,0.11,0.17,0.36,0.07,0.0,0.76,0.0,-0.01,0.0,0.0,0.09,0.03,0.04,0.12,0.43,0.71,0.0,0.38,0.18,0.41,0.43,0.17,0.89,0.1,0.06,0.32,0.16,0.15,0.0,2.81,1.76,0.05,-0.01,0.42,1.37,1.06,0.14,0.0,3.2,0.4,0.09,0.0,0.04,0.05,-0.04,0.03,1.42,0.2,0.83,0.02,0.1,0.36,0.01,1.16,0.02,0.15,0.41,1.18,0.25,0.0,0.1,0.07,0.26,0.04,1.81,0.2,0.0,2.59,0.0,0.81,0.41
4,4,2014-05-01,-0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.4,0.0,0.04,0.0,0.0,0.17,0.0,2.58,0.0,0.0,0.06,0.0,0.02,1.2,0.22,0.17,0.2,0.54,0.61,-0.06,0.48,0.01,0.12,0.91,0.0,0.26,0.02,0.18,0.0,0.02,0.28,0.15,0.72,0.69,0.93,0.24,0.17,0.09,0.19,0.0,0.45,1.85,0.73,1.28,0.46,0.0,0.1,0.31,0.45,0.19,0.0,0.52,0.0,0.09,1.08,0.04,0.81,0.0,0.75,0.42,0.27,1.07,1.03,1.26,0.68,0.0,0.04,0.46,0.0,0.15,0.62,0.0,0.07,0.27
5,5,2014-06-01,0.0,0.16,0.0,0.01,0.02,0.24,0.45,0.0,0.25,0.62,0.18,-0.01,1.39,0.23,0.7,0.39,0.11,0.45,-0.02,0.0,0.0,0.06,0.17,0.03,0.18,0.16,0.02,0.05,0.0,0.0,0.13,0.13,0.36,0.43,0.05,0.07,0.05,0.17,0.12,0.0,0.0,0.59,0.6,0.2,0.57,0.45,0.8,1.53,1.12,0.0,0.02,0.48,0.42,0.08,0.22,0.04,0.0,0.75,0.44,0.46,0.0,0.22,0.03,0.0,0.76,0.0,0.0,0.42,0.17,0.46,0.19,0.28,0.51,0.72,0.0,0.42,1.38,0.29,0.92,1.38,0.64,0.23
6,6,2014-07-01,0.28,0.01,0.0,0.25,0.58,1.24,0.39,0.01,0.16,4.43,0.04,0.09,0.1,0.67,0.34,0.0,1.89,1.0,0.09,0.0,0.38,1.17,0.18,2.84,0.26,0.06,0.03,0.01,0.18,0.74,0.13,0.71,0.59,0.28,0.03,1.31,1.09,0.08,0.92,0.26,0.58,1.1,0.2,0.39,0.3,0.6,1.39,0.01,0.01,2.95,0.08,1.21,0.64,0.46,0.35,0.03,-0.01,0.03,0.0,1.1,0.06,0.13,1.41,0.48,2.31,0.36,0.28,1.52,0.23,0.57,1.86,0.82,0.32,0.25,0.0,0.54,2.62,0.0,2.37,1.83,0.6,1.09
7,7,2014-08-01,1.69,-0.02,0.0,0.0,0.1,0.32,0.33,0.51,0.1,0.0,2.18,0.64,0.0,0.3,0.19,0.45,0.31,2.34,-0.06,0.0,1.34,0.48,0.08,0.26,0.15,0.38,0.87,0.05,0.23,0.97,1.02,0.58,0.38,0.0,-0.01,0.41,0.76,0.11,0.13,0.06,0.68,0.34,0.31,0.04,0.28,1.3,1.23,0.12,3.53,0.53,0.93,0.13,0.17,0.13,0.63,0.01,1.33,0.0,0.12,0.63,0.0,0.09,2.12,0.95,-0.02,0.02,0.43,0.43,0.02,0.65,0.05,1.36,0.02,2.34,0.03,0.49,1.09,0.01,0.09,0.15,0.78,0.57
8,8,2014-09-01,0.25,0.16,0.0,0.0,0.0,0.51,0.19,0.42,1.19,0.0,0.65,3.98,0.0,0.1,0.67,0.43,0.89,0.1,-0.02,0.0,3.16,0.61,0.44,0.14,0.03,0.27,1.7,0.0,0.58,0.04,0.19,0.94,0.0,0.0,0.12,0.1,0.51,0.07,0.0,0.15,0.05,0.87,0.31,0.21,0.21,1.2,1.62,0.5,0.23,0.45,0.0,0.0,0.18,0.0,0.04,0.91,0.0,0.42,0.22,1.08,0.0,0.02,0.35,0.2,0.28,0.05,0.06,0.53,1.24,0.28,0.14,2.04,0.27,3.17,0.49,0.02,0.0,0.76,0.77,0.18,0.87,0.49
9,9,2014-10-01,0.8,0.0,0.84,0.0,0.1,0.15,0.44,0.0,0.27,0.0,0.03,1.87,0.0,0.45,0.65,0.0,0.04,0.27,0.0,0.12,0.0,0.6,0.24,0.08,0.38,0.68,0.2,0.0,0.8,0.79,0.3,0.81,0.32,0.0,0.02,0.35,0.89,0.25,0.0,0.28,0.6,0.89,1.93,0.09,0.34,0.57,2.01,0.41,1.44,2.75,0.81,0.33,1.01,0.64,0.07,1.11,0.16,0.0,0.13,0.79,0.0,0.0,0.13,1.58,0.76,0.0,0.11,0.31,0.0,0.69,0.01,0.38,0.01,0.03,0.02,2.33,0.0,0.0,0.0,-0.06,0.34,0.46
