,URUTAN,BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
0,0,2014-01-01,2.07,0.8,0.59,1.87,0.74,0.15,0.8,0.41,0.79,-0.51,0.49,0.38,0.08,0.62,0.37,0.24,0.23,0.49,3.79,3.75,-0.12,0.79,1.62,0.86,0.16,-0.13,0.97,0.0,0.85,0.35,-0.13,0.01,0.37,0.0,0.12,0.11,0.5,0.59,0.29,0.05,0.89,0.05,0.55,0.52,0.43,1.11,0.4,0.29,0.65,0.09,0.72,0.12,0.04,-0.57,0.43,0.03,0.07,0.51,0.72,0.25,0.89,0.78,-0.11,-0.24,0.96,-0.49,0.37,-0.61,1.03,0.12,0.33,0.62,0.02,0.38,-0.07,0.0,0.55,0.04,0.04,0.63,-0.16,0.55
1,1,2014-02-01,1.1,0.44,0.35,0.12,1.38,0.45,0.1,0.51,0.03,0.66,0.38,0.36,0.52,0.34,0.34,-0.1,0.15,0.01,0.07,0.59,0.19,0.31,0.99,1.31,0.13,0.02,-0.02,0.0,0.08,0.22,1.67,0.56,0.23,0.46,0.01,0.26,-0.01,0.21,0.37,1.7,0.22,0.94,0.56,0.07,0.17,0.39,0.43,0.06,0.44,0.04,0.43,0.12,0.11,0.29,0.25,0.34,-0.1,0.68,0.18,0.49,0.19,0.15,0.06,1.41,-0.07,1.1,0.56,1.13,0.11,0.32,0.38,2.28,-0.42,0.24,0.9,0.08,3.3,-0.01,0.18,0.0,0.43,0.57
2,2,2014-03-01,-0.08,0.41,-0.06,0.13,1.19,-0.08,-0.11,0.16,0.41,1.29,0.18,1.34,0.04,-0.27,0.27,-0.05,0.1,-0.04,-1.28,0.15,0.26,0.21,0.46,-0.2,0.11,0.04,0.14,-0.02,-0.26,0.01,0.77,0.56,0.48,0.3,0.74,0.27,0.13,0.51,0.13,1.16,-0.05,0.05,0.39,0.11,0.05,0.13,-0.07,0.08,-0.01,0.58,-0.1,0.03,-0.04,0.24,0.33,0.2,0.31,0.31,0.17,-0.18,0.47,0.75,0.25,-0.19,-0.04,1.42,0.38,-0.04,-0.13,0.19,-0.23,0.11,1.3,0.12,-0.06,0.29,-0.19,0.16,0.09,0.0,0.44,0.08
3,3,2014-04-01,0.55,-0.41,-0.36,-0.29,-0.51,0.14,-0.83,-0.76,-0.38,-0.91,-0.2,-0.25,-0.41,-0.18,0.05,-0.26,-0.17,-0.25,-2.3,0.56,0.4,-0.54,0.06,-0.72,0.07,0.33,0.02,-0.27,-0.16,-0.08,0.59,-0.04,-0.27,-0.48,0.67,0.1,-0.37,-0.11,-0.08,0.02,0.01,-0.15,-0.51,-0.2,-0.19,-0.46,0.19,0.07,-0.53,0.83,0.28,-0.11,-0.25,0.13,0.44,-0.56,0.39,0.22,0.0,-1.19,-0.47,-0.34,-0.05,-0.21,-0.46,-0.24,0.16,-0.19,-0.23,-0.13,-0.22,0.36,0.71,0.18,0.64,-0.19,0.66,0.13,0.01,0.0,-0.59,-0.25
4,4,2014-05-01,2.62,0.15,1.07,0.17,1.22,-0.58,-0.65,-0.12,-0.12,0.39,0.23,0.23,1.04,0.19,0.23,0.12,0.16,0.16,-0.16,0.12,-0.09,0.3,0.95,0.08,0.11,0.16,-0.36,-0.14,0.14,0.02,0.34,1.03,-0.03,0.43,0.24,0.19,0.1,-0.11,0.03,3.22,-0.21,1.23,0.17,0.5,0.13,0.38,0.09,0.04,0.93,0.64,0.56,-0.03,-0.02,0.11,0.11,0.04,0.16,0.2,0.02,-0.85,-0.15,-0.27,-0.04,0.16,0.17,-0.03,0.1,0.34,0.04,-0.12,-0.15,0.14,0.3,0.21,0.39,0.83,-0.6,-0.02,-0.02,0.0,0.33,0.12
5,5,2014-06-01,-0.16,1.31,2.57,-0.08,-0.21,0.13,1.42,0.28,0.07,0.5,0.24,0.44,1.67,-0.05,0.06,0.04,1.0,-0.04,0.33,5.9,1.45,0.6,0.47,0.42,0.02,0.17,-0.3,0.01,0.47,-0.08,-0.07,0.22,0.13,0.51,0.3,0.02,0.64,0.75,0.04,0.22,1.73,0.56,0.45,0.51,0.52,0.57,0.26,0.06,0.62,-0.13,0.12,0.11,-0.16,0.42,0.53,0.56,0.74,0.29,0.2,-0.15,-0.45,-0.1,-1.15,0.96,1.28,5.24,0.17,0.18,-0.47,0.99,0.03,0.6,1.46,0.61,-0.08,0.39,1.04,0.47,-0.03,0.59,0.27,0.3
6,6,2014-07-01,5.32,3.0,2.02,1.76,1.4,1.54,2.37,1.78,0.55,3.6,1.24,1.56,1.13,0.77,0.8,1.69,2.14,0.86,1.7,0.23,1.31,0.69,1.19,0.54,0.35,-0.07,0.61,1.12,0.79,0.88,1.4,1.01,0.86,2.4,0.05,0.21,0.35,0.3,0.05,0.55,0.58,0.86,1.89,3.77,0.91,0.92,0.72,1.85,0.39,0.12,0.05,0.38,0.98,0.02,0.83,0.18,-0.22,0.64,1.62,0.64,0.3,0.58,1.36,0.19,0.43,3.71,0.58,1.69,0.19,2.25,1.5,0.08,1.38,1.3,0.46,8.01,2.66,0.33,0.06,2.28,1.61,0.85
7,7,2014-08-01,0.11,-0.48,-0.03,-0.06,0.42,-0.09,-0.3,0.22,0.15,-0.46,0.56,2.61,0.24,-0.21,0.15,0.05,0.48,0.2,-2.18,0.13,1.16,0.08,0.09,0.34,0.1,0.03,0.16,0.08,-0.08,0.06,0.52,0.33,0.03,0.25,0.02,0.02,-0.19,0.24,0.11,-0.84,-0.15,0.16,0.22,-0.05,-0.04,0.16,1.1,-0.03,0.06,0.66,0.21,0.44,-0.24,-0.02,0.32,-0.1,0.14,0.01,0.01,-0.18,-0.54,1.0,8.19,-0.04,-0.01,-0.06,-0.02,0.26,0.02,-0.38,-0.61,0.02,0.33,1.16,0.01,1.81,1.56,0.17,0.01,1.35,0.28,0.23
8,8,2014-09-01,-0.51,-0.46,0.45,-0.55,-0.11,-0.8,-0.65,-0.79,-0.44,-0.67,-0.01,-0.72,-0.29,-0.32,0.06,0.16,0.06,-0.15,-2.09,-0.46,0.2,-0.59,0.07,-0.38,0.13,0.11,-0.03,0.0,-0.2,-0.22,0.09,0.17,-0.15,-0.2,0.04,0.22,-0.25,-0.19,-0.1,-0.49,-0.18,-0.28,-0.41,-0.26,-0.12,-0.67,0.67,0.12,-0.32,0.46,0.15,0.47,-0.04,-0.06,0.02,0.02,0.19,-0.12,-0.09,-0.25,-0.18,0.24,0.8,-0.18,1.14,-0.6,0.28,-0.39,-0.14,-0.15,-0.51,0.2,-0.37,-0.05,0.18,0.09,3.21,0.05,0.01,0.53,-0.19,-0.17
9,9,2014-10-01,-0.05,-0.07,-0.02,0.71,0.03,0.35,-0.49,-0.4,-0.08,0.01,0.2,0.18,0.01,0.03,0.37,0.0,-0.23,-0.2,-0.26,0.3,0.44,1.06,-0.03,0.11,0.68,0.17,0.14,-0.3,0.2,0.18,0.01,-0.02,-0.04,0.21,0.22,0.2,-0.02,0.55,0.06,0.4,0.02,0.12,0.08,0.11,0.03,0.08,0.94,0.63,0.35,0.22,0.73,0.0,0.25,0.06,0.35,0.08,0.15,-0.13,-0.16,0.23,-0.19,-0.26,1.83,-0.29,0.34,0.16,-0.06,-0.14,-0.07,0.04,-0.6,0.01,0.29,-0.22,-0.07,-0.82,1.12,0.01,0.02,0.19,0.41,0.21
