,Date,Price,Open,High,Low,Change %
0,2021-12-01,"14,448.5","14,344.0","14,448.5","14,335.0",0.90%
1,2021-11-01,"14,320.0","14,185.0","14,392.5","14,182.5",1.09%
2,2021-10-01,"14,165.0","14,310.0","14,344.0","14,040.0",-1.01%
3,2021-09-01,"14,310.0","14,265.0","14,335.0","14,176.5",0.32%
4,2021-08-01,"14,265.0","14,465.0","14,485.0","14,260.0",-1.35%
5,2021-07-01,"14,460.0","14,510.0","14,572.5","14,434.5",-0.24%
6,2021-06-01,"14,495.0","14,265.0","14,560.0","14,183.0",1.54%
7,2021-05-01,"14,275.0","14,450.0","14,480.0","14,140.0",-1.14%
8,2021-04-01,"14,440.0","14,530.0","14,639.0","14,424.5",-0.55%
9,2021-03-01,"14,520.0","14,250.0","14,582.0","14,232.5",1.97%
10,2021-02-01,"14,240.0","14,035.0","14,275.0","13,866.0",1.57%
11,2021-01-01,"14,020.0","13,910.0","14,217.5","13,862.5",-0.14%
12,2020-12-01,"14,040.0","14,117.5","14,274.0","14,050.0",-0.35%
13,2020-11-01,"14,090.0","14,650.0","14,717.5","13,992.5",-3.63%
14,2020-10-01,"14,620.0","14,810.0","14,907.0","14,602.5",-1.48%
15,2020-09-01,"14,840.0","14,535.0","14,974.0","14,535.0",1.92%
16,2020-08-01,"14,560.0","14,605.0","14,881.0","14,465.0",0.21%
17,2020-07-01,"14,530.0","14,245.0","14,860.0","14,245.0",2.47%
18,2020-06-01,"14,180.0","14,630.0","14,630.0","13,850.0",-2.71%
19,2020-05-01,"14,575.0","14,960.0","15,152.5","14,607.5",-1.69%
20,2020-04-01,"14,825.0","16,325.0","16,575.0","14,857.5",-9.05%
21,2020-03-01,"16,300.0","14,355.0","16,640.0","14,095.0",13.67%
22,2020-02-01,"14,340.0","13,665.0","14,347.5","13,600.0",5.05%
23,2020-01-01,"13,650.0","13,872.5","13,970.0","13,570.0",-1.66%
24,2019-12-01,"13,880.0","14,105.0","14,133.5","13,862.5",-1.56%
25,2019-11-01,"14,100.0","14,050.0","14,117.5","13,967.5",0.48%
26,2019-10-01,"14,032.0","14,177.5","14,217.5","13,985.0",-1.11%
27,2019-09-01,"14,190.0","14,185.5","14,234.5","13,917.5",0.07%
28,2019-08-01,"14,180.0","14,060.0","14,360.0","14,060.0",1.20%
29,2019-07-01,"14,012.0","14,082.5","14,170.0","13,887.5",-0.80%
30,2019-06-01,"14,125.0","14,205.0","14,355.0","14,080.0",-1.02%
31,2019-05-01,"14,270.0","14,205.0","14,527.5","14,205.0",0.18%
32,2019-04-01,"14,245.0","14,225.0","14,265.0","13,995.0",0.07%
33,2019-03-01,"14,235.0","14,098.5","14,340.0","14,084.5",1.24%
34,2019-02-01,"14,060.0","13,945.0","14,157.5","13,887.5",0.64%
35,2019-01-01,"13,970.0","14,445.0","14,492.5","13,960.0",-2.82%
36,2018-12-01,"14,375.0","14,265.0","14,655.0","14,210.0",0.52%
37,2018-11-01,"14,300.0","15,202.5","15,211.5","14,260.0",-5.92%
38,2018-10-01,"15,200.0","14,895.0","15,272.5","14,890.0",2.01%
39,2018-09-01,"14,900.0","14,740.0","14,950.0","14,740.0",1.19%
40,2018-08-01,"14,725.0","14,435.0","14,735.0","14,393.0",2.15%
41,2018-07-01,"14,415.0","14,255.0","14,565.0","14,255.0",0.63%
42,2018-06-01,"14,325.0","13,870.0","14,415.0","13,835.0",3.13%
43,2018-05-01,"13,890.0","13,917.5","14,212.5","13,873.5",-0.14%
44,2018-04-01,"13,910.0","13,745.0","13,940.0","13,740.0",1.09%
45,2018-03-01,"13,760.0","13,790.0","13,805.0","13,700.0",0.15%
46,2018-02-01,"13,740.0","13,390.0","13,755.0","13,390.0",2.64%
47,2018-01-01,"13,387.0","13,540.0","13,555.0","13,267.5",-1.31%
48,2017-12-01,"13,565.0","13,535.0","13,595.0","13,511.5",0.30%
49,2017-11-01,"13,524.0","13,585.0","13,596.5","13,470.0",-0.27%
50,2017-10-01,"13,560.0","13,480.0","13,645.0","13,457.5",0.67%
51,2017-09-01,"13,470.0","13,342.5","13,555.0","13,140.0",0.96%
52,2017-08-01,"13,342.0","13,317.5","13,382.5","13,301.0",0.14%
53,2017-07-01,"13,324.0","13,315.0","13,412.5","13,297.5",-0.01%
54,2017-06-01,"13,325.0","13,312.5","13,327.5","13,274.0",0.03%
55,2017-05-01,"13,321.0","13,330.0","13,420.0","13,287.0",-0.05%
56,2017-04-01,"13,327.0","13,322.5","13,347.5","13,250.5",0.03%
57,2017-03-01,"13,323.0","13,362.5","13,397.5","13,297.5",-0.06%
58,2017-02-01,"13,331.0","13,350.0","13,387.5","13,290.0",-0.12%
59,2017-01-01,"13,347.0","13,485.0","13,497.5","13,270.0",-0.91%
60,2016-12-01,"13,470.0","13,585.0","13,592.5","13,275.0",-0.59%
61,2016-11-01,"13,550.0","13,032.5","13,587.5","13,030.0",3.86%
62,2016-10-01,"13,047.0","13,035.0","13,080.0","12,955.0",0.00%
63,2016-09-01,"13,047.0","13,275.0","13,284.0","12,920.0",-1.64%
64,2016-08-01,"13,265.0","13,090.0","13,308.0","13,065.0",1.28%
65,2016-07-01,"13,097.0","13,180.0","13,192.5","13,071.5",-0.86%
66,2016-06-01,"13,210.0","13,662.5","13,800.0","13,140.0",-3.26%
67,2016-05-01,"13,655.0","13,210.0","13,695.0","13,140.0",3.60%
68,2016-04-01,"13,180.0","13,200.0","13,252.5","13,085.0",-0.57%
69,2016-03-01,"13,255.0","13,350.0","13,440.0","12,975.0",-0.84%
70,2016-02-01,"13,367.0","13,760.0","13,825.0","13,297.5",-2.93%
71,2016-01-01,"13,770.0","13,825.0","13,987.5","13,755.0",-0.11%
72,2015-12-01,"13,785.0","13,837.5","14,095.0","13,555.0",-0.33%
73,2015-11-01,"13,830.0","13,675.0","13,847.5","13,430.0",1.13%
74,2015-10-01,"13,675.0","14,640.0","14,710.0","13,225.0",-6.62%
75,2015-09-01,"14,645.0","14,070.0","14,740.0","14,052.5",4.27%
76,2015-08-01,"14,045.0","13,507.5","14,140.0","13,474.5",3.84%
77,2015-07-01,"13,525.0","13,350.0","13,530.0","13,280.0",1.46%
78,2015-06-01,"13,330.0","13,210.0","13,388.5","13,192.0",0.81%
79,2015-05-01,"13,223.0","12,985.0","13,243.0","12,976.0",2.03%
80,2015-04-01,"12,960.0","13,070.0","13,077.5","12,805.0",-0.84%
81,2015-03-01,"13,070.0","12,975.0","13,248.0","12,900.0",1.16%
82,2015-02-01,"12,920.0","12,710.0","12,945.0","12,587.5",2.01%
83,2015-01-01,"12,665.0","12,425.0","12,757.5","12,410.0",2.30%
84,2014-12-01,"12,380.0","12,235.0","12,940.0","12,235.0",1.48%
85,2014-11-01,"12,199.0","12,117.5","12,228.0","12,080.0",0.99%
86,2014-10-01,"12,080.0","12,172.5","12,252.5","11,965.0",-0.82%
87,2014-09-01,"12,180.0","11,710.0","12,255.0","11,695.0",4.24%
88,2014-08-01,"11,685.0","11,595.0","11,860.0","11,595.0",0.95%
89,2014-07-01,"11,575.0","11,845.0","12,015.0","11,480.0",-2.28%
90,2014-06-01,"11,845.0","11,725.0","12,110.0","11,716.0",1.50%
91,2014-05-01,"11,670.0","11,545.0","11,675.0","11,340.5",0.97%
92,2014-04-01,"11,558.0","11,275.0","11,662.5","11,258.5",1.79%
93,2014-03-01,"11,355.0","11,615.0","11,672.5","11,250.0",-2.15%
