,URUTAN,BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
0,0,2014-01-01,0.59,-0.31,0.3,-0.61,0.0,-0.26,0.43,0.41,0.34,0.0,1.59,-0.14,0.04,-0.27,-0.35,1.66,1.61,-0.1,-0.13,0.34,7.72,-0.9,0.02,1.05,0.1,0.55,-0.17,-0.03,0.03,-0.17,-0.57,0.0,-0.17,2.49,0.27,0.25,-0.05,0.07,0.03,0.0,3.29,0.52,0.38,-0.69,3.33,0.92,1.01,0.52,1.55,0.08,1.29,0.18,1.22,0.97,-0.15,-0.29,0.16,-0.73,-1.36,-0.56,0.2,2.23,0.56,1.31,1.68,1.17,0.0,-0.07,-0.14,0.91,0.16,2.12,0.16,1.35,-0.1,0.0,-0.18,0.04,-0.8,3.13,-0.45,0.47
1,1,2014-02-01,0.12,0.22,-0.42,0.68,-1.55,-0.22,-0.07,0.33,1.74,0.0,0.63,0.54,3.27,-0.17,0.25,0.12,0.23,0.0,-2.34,0.0,0.24,0.82,-0.03,-0.06,0.08,0.15,0.3,0.09,-0.22,0.14,0.13,0.26,0.11,1.08,0.15,-0.41,-0.18,0.31,0.1,-1.2,-0.19,0.52,0.38,-0.33,0.04,1.42,1.22,3.56,0.94,-0.31,0.81,1.65,0.02,1.42,-0.33,0.19,5.05,-0.08,0.11,-0.21,0.0,0.06,0.1,0.12,0.09,-0.54,0.0,0.29,0.47,0.25,-0.06,0.03,0.17,0.97,-1.19,2.39,-0.46,1.63,-0.24,2.64,2.59,0.32
2,2,2014-03-01,0.14,0.57,-0.18,-0.07,1.15,-0.08,0.12,0.08,-1.12,2.11,-0.08,2.53,-0.53,1.05,0.05,-0.12,-0.25,-0.64,-4.03,0.0,0.21,-0.16,0.6,-0.24,0.14,0.17,0.19,0.66,-0.55,0.28,0.24,-0.02,-0.26,0.0,0.15,1.43,-0.22,-0.33,0.19,-2.32,0.01,0.25,-0.03,-0.23,0.05,0.18,-1.06,0.07,3.61,0.47,-0.05,0.1,-0.01,0.06,-0.06,-0.33,-0.16,-0.38,0.06,-0.19,0.01,0.82,0.0,-0.16,1.15,1.48,0.05,-0.28,0.05,0.48,0.33,0.32,-0.18,-0.1,0.35,0.49,-0.18,-1.16,-0.51,0.0,-0.24,0.01
3,3,2014-04-01,0.01,-0.06,1.57,-0.18,-1.01,-0.09,0.14,0.2,-0.94,2.01,-0.01,1.0,0.22,0.22,0.06,-0.23,0.76,-0.35,0.73,0.34,0.77,0.35,-0.03,0.62,0.13,-1.62,0.69,0.04,0.2,0.34,-0.22,0.78,-0.22,2.6,-0.15,0.16,0.17,0.16,-0.14,0.5,0.28,0.01,-0.14,1.17,0.31,0.39,-0.02,0.63,0.31,0.13,0.2,-0.2,0.45,0.14,0.45,-0.13,0.35,1.41,-0.06,0.21,0.01,-0.03,0.86,0.8,0.58,-1.64,0.95,-0.15,-1.22,-0.61,-0.3,0.04,0.63,0.0,-2.14,-0.32,0.27,0.83,2.51,-0.1,0.27,0.27
4,4,2014-05-01,0.32,0.0,-0.2,-0.08,1.53,0.08,-0.14,-0.19,-0.75,-0.28,-0.03,0.02,0.1,0.02,-0.16,1.71,-0.11,1.01,0.05,1.98,-1.91,-0.2,0.31,0.12,1.31,0.26,0.23,0.23,0.29,0.41,-0.1,0.64,0.06,1.85,0.32,0.21,-0.14,-0.1,-0.18,3.01,-0.06,0.59,0.51,1.02,2.49,-0.25,0.47,0.02,2.01,0.2,0.08,0.51,-0.16,0.0,-0.06,0.28,0.7,0.65,0.11,1.38,0.05,0.29,0.18,-0.05,0.36,-0.36,0.23,0.04,2.07,0.78,0.27,0.16,0.0,0.12,-1.5,1.45,-2.73,-0.01,0.14,-0.35,0.12,0.23
5,5,2014-06-01,0.0,0.04,0.12,0.18,-0.01,0.56,1.01,0.54,-0.43,0.84,-0.04,-0.38,-0.14,-0.19,0.41,1.2,-0.07,-0.03,-0.02,0.0,-0.32,-0.03,-0.04,0.03,0.56,0.13,0.24,0.1,0.55,0.08,0.47,-0.27,0.34,-0.82,0.15,0.07,-0.17,0.75,0.15,0.22,-0.36,1.12,0.6,0.88,0.28,0.43,0.04,0.9,2.52,0.22,2.0,0.42,0.62,0.08,2.19,0.69,0.02,0.13,0.13,0.11,0.0,-0.09,0.13,0.22,-0.04,0.0,0.85,0.15,1.01,0.11,0.31,0.19,0.37,0.88,0.47,0.96,0.48,0.0,1.28,0.24,0.46,0.29
6,6,2014-07-01,0.0,0.05,0.2,0.08,0.75,0.23,0.12,0.2,-0.08,2.73,0.17,-0.61,-0.18,0.92,-0.24,-1.27,2.44,-0.29,-0.13,0.73,0.96,-0.64,2.63,1.47,0.63,-0.41,0.28,-0.1,-0.05,0.55,1.02,0.03,2.88,-1.35,0.13,-0.03,0.34,0.41,2.6,0.19,0.12,0.13,0.26,-0.63,0.24,0.56,1.15,1.29,-0.14,1.07,0.35,0.89,1.79,0.24,-0.01,-0.4,0.19,1.36,1.45,0.04,0.44,0.64,0.45,0.37,2.93,0.18,0.0,0.66,0.19,-0.06,0.13,-0.4,0.61,0.11,-0.01,1.94,2.5,0.22,0.03,0.14,0.47,0.61
7,7,2014-08-01,0.12,0.0,0.02,-0.26,0.68,0.07,0.38,0.86,0.01,-0.33,1.89,0.25,-0.08,0.09,-0.02,0.95,-0.18,0.1,-0.2,0.27,0.11,0.58,0.35,0.15,0.24,-0.01,-0.13,-0.01,0.13,0.29,0.29,0.43,0.53,0.17,-0.04,-0.13,0.13,0.12,0.97,0.05,-0.02,-0.07,0.74,0.67,0.42,0.73,1.31,-0.72,2.23,-0.36,-0.06,0.21,-0.06,1.06,-0.25,-1.05,0.37,0.0,0.14,0.26,-1.61,0.01,3.01,1.54,-0.36,0.04,0.0,0.21,0.53,0.02,-0.15,-0.22,0.01,0.18,-0.12,-0.09,-0.9,0.05,-4.23,0.49,0.37,0.25
8,8,2014-09-01,-0.5,0.09,-0.06,-0.11,0.91,0.04,0.78,-0.42,0.03,-0.29,0.27,-0.09,0.04,0.02,0.58,0.98,0.09,-0.31,-0.24,-0.46,2.97,0.47,1.37,0.35,-0.04,0.87,0.06,0.22,-0.18,0.78,-0.23,0.51,-0.22,0.42,-0.08,0.28,0.25,0.17,0.14,0.04,-0.01,0.34,-0.19,-0.81,-0.19,1.38,2.5,-0.12,1.31,0.66,0.11,0.45,0.44,-0.06,0.39,0.36,0.84,0.45,1.21,0.36,0.13,1.4,0.06,0.08,0.05,0.07,0.02,0.73,-0.18,-0.22,0.08,0.49,0.19,0.38,1.28,0.96,0.08,0.0,-0.46,0.0,2.82,0.43
9,9,2014-10-01,1.0,-0.11,-0.1,-0.3,0.1,0.25,-0.04,0.26,0.01,0.01,0.33,0.78,0.33,0.18,-0.05,0.0,1.38,0.94,0.24,2.68,-0.12,0.84,1.43,0.12,0.41,0.73,0.15,0.06,-0.16,0.69,2.51,0.11,-0.03,1.33,0.49,0.24,-0.37,0.12,-0.05,-2.61,0.34,-0.04,0.01,0.55,0.16,0.21,1.32,0.2,-0.17,0.72,0.38,0.97,-0.14,-0.08,-0.05,0.09,0.18,0.54,-0.15,-0.33,0.0,0.41,0.15,-0.18,0.05,0.1,0.0,0.05,0.78,0.15,-0.08,-0.06,-1.05,-0.01,0.63,1.31,0.03,0.02,-0.12,-0.03,0.76,0.27
