Kota,Latitude,Longitude
KOTA MEULABOH,4.193522031,96.12417579
KOTA BANDA ACEH,5.589494799,95.31725461
KOTA LHOKSEUMAWE,5.216476107,97.14653982
KOTA SIBOLGA,1.750085105,98.78258894
KOTA PEMATANG SIANTAR,3.061371034,99.06148874
KOTA MEDAN,3.796303046,98.69013907
KOTA PADANGSIDIMPUAN,1.529860721,99.27096445
KOTA GUNUNGSITOLI,1.309821852,97.61046151
KOTA PADANG,-0.642798288,100.4073793
KOTA BUKITTINGGI,-0.290846741,100.3831793
TEMBILAHAN,-0.294146713,103.1467338
KOTA PEKANBARU,0.806030633,101.4688588
KOTA DUMAI,1.74818782,101.3990186
BUNGO,-1.396967914,101.8201424
KOTA JAMBI,-1.504670048,103.601912
KOTA PALEMBANG,-2.675813126,104.7300199
KOTA LUBUKLINGGAU,-3.16282751,102.8936878
KOTA BENGKULU,-3.650244375,102.263284
KOTA BANDAR LAMPUNG,-5.374232139,105.2596919
KOTA METRO,-5.090531007,105.3109013
TANJUNG PANDAN,-2.676088446,107.6508759
KOTA PANGKAL PINANG,-2.09761224,106.1320971
KOTA BATAM,1.129029297,104.0505274
KOTA TANJUNG PINANG,0.919121501,104.4646839
DKI JAKARTA,-6.20720205,106.8391197
KOTA BOGOR,-6.588708608,106.8042488
KOTA SUKABUMI,-6.927129039,106.9276089
KOTA BANDUNG,-6.915714196,107.6115691
KOTA CIREBON,-6.731182492,108.5540224
KOTA BEKASI,-6.239924672,106.9701242
KOTA DEPOK,-6.402173648,106.7941054
KOTA TASIKMALAYA,-7.350102123,108.2179873
CILACAP,-7.697156474,109.0233961
PURWOKERTO,-7.424827456,109.2395727
KUDUS,-6.787950607,110.8372788
KOTA SURAKARTA,-7.544191398,110.8247883
KOTA SEMARANG,-7.00427942,110.4503647
KOTA TEGAL,-6.87933268,109.1258572
KOTA YOGYAKARTA,-7.794575258,110.3717543
JEMBER,-8.17109275,113.686869
BANYUWANGI,-8.220491351,114.3675234
SUMENEP,-7.004558418,113.8577605
KOTA KEDIRI,-7.848198172,112.0154981
KOTA MALANG,-7.892066015,112.6310936
KOTA PROBOLINGGO,-7.776201714,113.2075126
KOTA MADIUN,-7.630764025,111.5273641
KOTA SURABAYA,-7.250071461,112.7511331
KOTA TANGERANG,-6.169650005,106.6410995
KOTA CILEGON,-6.015898609,106.05
KOTA SERANG,-6.116605667,106.1531343
SINGARAJA,-8.114854737,115.0905996
KOTA DENPASAR,-8.671303623,115.2144724
KOTA MATARAM,-8.555981675,116.0958507
KOTA BIMA,-8.408594384,118.6231075
WAINGAPU,-9.695939188,120.1826352
MAUMERE,-8.595372587,122.216964
KOTA KUPANG,-10.08700218,123.605448
SINTANG,0.06396373,111.4879443
KOTA PONTIANAK,-0.026116601,109.3411002
KOTA SINGKAWANG,1.006141639,109.0014776
SAMPIT,-2.538779349,112.958815
KOTA PALANGKA RAYA,-2.216391738,113.914024
KOTA BARU,-2.131013957,115.8968508
TANJUNG,-2.011535642,115.3591653
KOTA BANJARMASIN,-3.068380339,114.6181218
KOTA BALIKPAPAN,-1.236043294,116.8496416
KOTA SAMARINDA,-0.493205616,117.148738
TANJUNG SELOR,2.844912286,117.3638432
KOTA TARAKAN,3.327736424,117.5790803
KOTA MANADO,1.473546425,124.8449085
KOTA KOTAMOBAGU,0.728561781,124.3122969
LUWUK,-0.938055616,122.7928868
KOTA PALU,-0.899411019,119.8772899
BULUKUMBA,-5.420442113,120.2494321
WATAMPONE,-4.537873451,120.3249111
KOTA MAKASSAR,-5.026911628,119.4422779
KOTA PARE-PARE,-3.926056741,119.6170831
KOTA PALOPO,-2.971785061,120.18763
KOTA KENDARI,-3.999088811,122.5150694
KOTA BUA-BAU,-5.50639436,122.5968151
KOTA GORONTALO,0.594747493,123.0571123
MAMUJU,-2.489971738,119.3335784
KOTA AMBON,-3.560521542,128.1633291
KOTA TUAL,-5.335365671,132.6957739
KOTA TERNATE,0.798636132,127.3602611
MANOKWARI,-0.85681509,134.0625965
KOTA SORONG,-0.658133486,131.2605366
MERAUKE,-8.456139719,140.4010854
TIMIKA,-4.54537316,136.8841064
KOTA JAYAPURA,-2.561783651,140.6745321
